store_name,street,city,state,zip_code,phone,store_url,latitude,longitude
Stockton (76),6535 Pacific Ave,Stockton,CA,95207,209-951-7597,https://locations.traderjoes.com/ca/stockton/76/,38.0091681,-121.3226915
Studio City (122),11976 Ventura Blvd,Studio City,CA,91604,818-509-0168,https://locations.traderjoes.com/ca/studio-city/122/,34.1429858,-118.3933469
Sunnyvale (68),316 West El Camino Real,Sunnyvale,CA,94087,408-736-7573,https://locations.traderjoes.com/ca/sunnyvale/68/,37.3679656,-122.0358812
Tarzana (264),18700 Ventura Blvd,Tarzana,CA,91356,747-212-1646,https://locations.traderjoes.com/ca/tarzana/264/,34.1702927,-118.5404429
Temecula (102),40665 Winchester Rd,Temecula,CA,92591,951-296-9964,https://locations.traderjoes.com/ca/temecula/102/,33.5288349,-117.156097
Templeton (211),1111 Rossi Road,Templeton,CA,93465,805-434-9562,https://locations.traderjoes.com/ca/templeton/211/,,
Newbury Park (243),125 N Reino Road,Thousand Oaks,CA,91320,805-375-1984,https://locations.traderjoes.com/ca/thousand-oaks/243/,34.1799396,-118.9539342
Thousand Oaks (196),451 Avenida De Los Arboles,Thousand Oaks,CA,91360,805-492-7107,https://locations.traderjoes.com/ca/thousand-oaks/196/,34.2189137,-118.8691687
Toluca Lake (54),10130 Riverside Dr,Toluca Lake,CA,91602,818-762-2787,https://locations.traderjoes.com/ca/toluca-lake/54/,34.1519441,-118.3519203
Torrance - Hawthorne Blvd (121),19720 Hawthorne Blvd,Torrance,CA,90503,310-793-8585,https://locations.traderjoes.com/ca/torrance/121/,33.8522626,-118.3532417
Torrance - Rolling Hills Plaza (29),2545 Pacific Coast Hwy,Torrance,CA,90505,310-326-9520,https://locations.traderjoes.com/ca/torrance/29/,33.7907436,-118.3300923
Tracy (269),2530 Naglee Rd,Tracy,CA,95304,209-913-5511,https://locations.traderjoes.com/ca/tracy/269/,37.755664,-121.4661111
Tustin (197),1198 Irvine Blvd.,Tustin,CA,92780,714-505-3289,https://locations.traderjoes.com/ca/tustin/197/,33.7464492,-117.8095622
Ventura (45),1795 S. Victoria Ave,Ventura,CA,93003,805-650-9977,https://locations.traderjoes.com/ca/ventura/45/,34.2572617,-119.2117413
Ventura - Midtown (218),"103 S Mills Rd, Ste 104",Ventura,CA,93003,805-658-2664,https://locations.traderjoes.com/ca/ventura/218/,,
Vista (259),1861 University Dr,Vista,CA,92083,760-502-9816,https://locations.traderjoes.com/ca/vista/259/,33.17001,-117.21894
Walnut Creek (123),1372 S California Blvd,Walnut Creek,CA,94596,925-945-1674,https://locations.traderjoes.com/ca/walnut-creek/123/,37.8931623,-122.0605269
West Hills (50),6751 Fallbrook Ave,West Hills,CA,91307,818-347-2591,https://locations.traderjoes.com/ca/west-hills/50/,34.1930814,-118.6255657
West Hollywood (173),8611 Santa Monica Blvd,West Hollywood,CA,90069,310-657-0152,https://locations.traderjoes.com/ca/west-hollywood/173/,34.0880565,-118.3796094
West Hollywood (40),7310 Santa Monica Blvd,West Hollywood,CA,90046,323-969-8048,https://locations.traderjoes.com/ca/west-hollywood/40/,34.0905575,-118.3490124
Westchester (33),8645 S Sepulveda,Westchester,CA,90045,310-338-9238,https://locations.traderjoes.com/ca/westchester/33/,33.9586411,-118.3965106
Westlake Village (58),3835 E Thousand Oaks Blvd,Westlake Village,CA,91362,805-494-5040,https://locations.traderjoes.com/ca/westlake-village/58/,34.1638993,-118.8249784
Whittier (48),15025 E Whittier Blvd,Whittier,CA,90603,562-698-1642,https://locations.traderjoes.com/ca/whittier/48/,,
Woodland Hills (209),21055 Ventura Blvd,Woodland Hills,CA,91364,818-712-9475,https://locations.traderjoes.com/ca/woodland-hills/209/,34.1670194,-118.5922849
Yorba Linda (176),19655 Yorba Linda Blvd,Yorba Linda,CA,92886,714-970-0116,https://locations.traderjoes.com/ca/yorba-linda/176/,33.8896122,-117.7923302
Yucaipa (268),31545 Yucaipa Boulevard,Yucaipa,CA,92399,909-951-6154,https://locations.traderjoes.com/ca/yucaipa/268/,34.0291372,-117.1153248
